user,scheme,totalLogin,successLogin,failLogin,successTime,failTime
ast403,textrandom;az-6,24,15,9,13.57142857,4
ast413,textrandom;az-6,19,15,4,3.928571429,8.666666667
ast416,textrandom;az-6,19,15,4,21.38461538,9.333333333
ast417,textrandom;az-6,20,15,5,10.71428571,4.75
ast418,textrandom;az-6,32,15,17,5.533333333,3
ast422,textrandom;az-6,18,15,3,3.2,2.333333333
ast423,textrandom;az-6,27,15,12,3,2.428571429
ast424,textrandom;az-6,17,12,5,8.1,6.333333333
ast426,textrandom;az-6,34,15,19,4.714285714,4.777777778
bpt409,testpasstiles;BlankP,109,30,79,7.785714286,9.173913043
bpt411,testpasstiles;BlankP,113,30,83,13.21428571,21
bpt416,testpasstiles;BlankP,71,32,39,37.5,46
bpt418,testpasstiles;BlankP,74,30,44,16,13.33333333
bpt419,testpasstiles;BlankP,58,30,28,32.07692308,35.5
bpt422,testpasstiles;BlankP,81,30,51,32.28571429,46
bpt423,testpasstiles;BlankP,72,24,48,25.63636364,39.2
bpt424,testpasstiles;BlankP,55,18,37,26.11111111,22.75
bpt425,testpasstiles;BlankP,52,24,28,19.2,19.33333333
"ipt401","testpasstiles;ImageP",15,12,3,24.2727272727273,33.3333333333333
"ipt402","testpasstiles;ImageP",20,15,5,20,32
"ipt403","testpasstiles;ImageP",29,15,14,21.0666666666667,18.5454545454545
"ipt404","testpasstiles;ImageP",40,17,23,20.5625,19
"ipt406","testpasstiles;ImageP",28,15,13,25.7333333333333,26.8333333333333
"ipt411","testpasstiles;ImageP",23,15,8,26.4666666666667,32.6666666666667
"ipt413","testpasstiles;ImageP",53,20,33,35.65,27.9444444444444
"ipt414","testpasstiles;ImageP",35,15,20,18.6153846153846,20.6923076923077
"ipt419","testpasstiles;ImageP",28,15,13,24,34.8888888888889
"ipt423","testpasstiles;ImageP",31,15,16,32.2142857142857,47.3636363636364
"ipt424","testpasstiles;ImageP",26,16,10,51.2666666666667,34.5
"ipt426","testpasstiles;ImageP",30,15,15,32.1538461538462,45.1
"ipt427","testpasstiles;ImageP",39,16,23,14,19.4285714285714
"ipt431","testpasstiles;ImageP",35,12,23,26.9166666666667,31.0555555555556
"ipt432","testpasstiles;ImageP",26,15,11,30.0666666666667,25.6
"ipt433","testpasstiles;ImageP",18,15,3,20,28.3333333333333
"ipt434","testpasstiles;ImageP",36,18,18,28.6666666666667,16.6666666666667
"ipt439","testpasstiles;ImageP",29,13,16,24.4615384615385,33
"ipt441","testpasstiles;ImageP",32,16,16,31.25,32.8666666666667
"ipt443","testpasstiles;ImageP",20,16,4,34.5625,32.5
"ipt444","testpasstiles;ImageP",19,15,4,11.6666666666667,15
"ipt446","testpasstiles;ImageP",37,18,19,47.9411764705882,34.6666666666667
"ipt448","testpasstiles;ImageP",20,13,7,27.5,27.5
"ipt449","testpasstiles;ImageP",25,15,10,36.4666666666667,24.8888888888889
